Model,Configuration,Layer,Sparsity
Llama-3.1-8B,magnitude_30,0,0.300915002822876
Llama-3.1-8B,magnitude_30,1,0.3009159244023837
Llama-3.1-8B,magnitude_30,2,0.30092685039226824
Llama-3.1-8B,magnitude_30,3,0.3009145214007451
Llama-3.1-8B,magnitude_30,4,0.30091530543107253
Llama-3.1-8B,magnitude_30,5,0.30090840046222395
Llama-3.1-8B,magnitude_30,6,0.3008991250625023
Llama-3.1-8B,magnitude_30,7,0.3009112798250638
Llama-3.1-8B,magnitude_30,8,0.3009215501638559
Llama-3.1-8B,magnitude_30,9,0.3009269925264212
Llama-3.1-8B,magnitude_30,10,0.30091717609992397
Llama-3.1-8B,magnitude_30,11,0.3009158189480121
Llama-3.1-8B,magnitude_30,12,0.30091493404828584
Llama-3.1-8B,magnitude_30,13,0.3009184140425462
Llama-3.1-8B,magnitude_30,14,0.300917781316317
Llama-3.1-8B,magnitude_30,15,0.3009260938717769
Llama-3.1-8B,magnitude_30,16,0.30092259095265317
Llama-3.1-8B,magnitude_30,17,0.3009261993261484
Llama-3.1-8B,magnitude_30,18,0.30092020676686215
Llama-3.1-8B,magnitude_30,19,0.30092273767177874
Llama-3.1-8B,magnitude_30,20,0.30092475047478306
Llama-3.1-8B,magnitude_30,21,0.30092305403489333
Llama-3.1-8B,magnitude_30,22,0.3009120959502
Llama-3.1-8B,magnitude_30,23,0.3009068644963778
Llama-3.1-8B,magnitude_30,24,0.30090911113298857
Llama-3.1-8B,magnitude_30,25,0.3009045307452862
Llama-3.1-8B,magnitude_30,26,0.30090097739146304
Llama-3.1-8B,magnitude_30,27,0.3008977495706998
Llama-3.1-8B,magnitude_30,28,0.30089683257616484
Llama-3.1-8B,magnitude_30,29,0.30088266959557164
Llama-3.1-8B,magnitude_30,30,0.30088212398382336
Llama-3.1-8B,magnitude_30,31,0.30084787882291353
Llama-3.1-8B,wanda_30,0,0.3001170525184044
Llama-3.1-8B,wanda_30,1,0.3001511968099154
Llama-3.1-8B,wanda_30,2,0.300131224668943
Llama-3.1-8B,wanda_30,3,0.3001387669489934
Llama-3.1-8B,wanda_30,4,0.3001336409495427
Llama-3.1-8B,wanda_30,5,0.30014458986429066
Llama-3.1-8B,wanda_30,6,0.3001530124590947
Llama-3.1-8B,wanda_30,7,0.3001473912825951
Llama-3.1-8B,wanda_30,8,0.30014729499816895
Llama-3.1-8B,wanda_30,9,0.30014644677822405
Llama-3.1-8B,wanda_30,10,0.3001453463847821
Llama-3.1-8B,wanda_30,11,0.30014342069625854
Llama-3.1-8B,wanda_30,12,0.30014406259243304
Llama-3.1-8B,wanda_30,13,0.3001385835500864
Llama-3.1-8B,wanda_30,14,0.30013410861675555
Llama-3.1-8B,wanda_30,15,0.3001325588959914
Llama-3.1-8B,wanda_30,16,0.3001330173932589
Llama-3.1-8B,wanda_30,17,0.3001450804563669
Llama-3.1-8B,wanda_30,18,0.30013978481292725
Llama-3.1-8B,wanda_30,19,0.3001427925550021
Llama-3.1-8B,wanda_30,20,0.3001397756429819
Llama-3.1-8B,wanda_30,21,0.30014259081620437
Llama-3.1-8B,wanda_30,22,0.30014044963396513
Llama-3.1-8B,wanda_30,23,0.30014077516702503
Llama-3.1-8B,wanda_30,24,0.300138913668119
Llama-3.1-8B,wanda_30,25,0.3001418893153851
Llama-3.1-8B,wanda_30,26,0.30015017894598156
Llama-3.1-8B,wanda_30,27,0.3001439067033621
Llama-3.1-8B,wanda_30,28,0.30013869817440325
Llama-3.1-8B,wanda_30,29,0.30014195350500256
Llama-3.1-8B,wanda_30,30,0.3001406972224896
Llama-3.1-8B,wanda_30,31,0.3001421231489915
Llama-3.1-8B,magnitude_50,0,0.5013742538598868
Llama-3.1-8B,magnitude_50,1,0.5016281788165753
Llama-3.1-8B,magnitude_50,2,0.5016215856258686
Llama-3.1-8B,magnitude_50,3,0.5015589686540457
Llama-3.1-8B,magnitude_50,4,0.5013945148541377
Llama-3.1-8B,magnitude_50,5,0.501444949553563
Llama-3.1-8B,magnitude_50,6,0.5014481177696815
Llama-3.1-8B,magnitude_50,7,0.5014833441147437
Llama-3.1-8B,magnitude_50,8,0.501463362803826
Llama-3.1-8B,magnitude_50,9,0.5014794056232159
Llama-3.1-8B,magnitude_50,10,0.5015048934863164
Llama-3.1-8B,magnitude_50,11,0.5015038802073553
Llama-3.1-8B,magnitude_50,12,0.5015330085387597
Llama-3.1-8B,magnitude_50,13,0.5015260072854849
Llama-3.1-8B,magnitude_50,14,0.501529757793133
Llama-3.1-8B,magnitude_50,15,0.5015402207007775
Llama-3.1-8B,magnitude_50,16,0.5015298494925866
Llama-3.1-8B,magnitude_50,17,0.5015349021324744
Llama-3.1-8B,magnitude_50,18,0.5015614445392902
Llama-3.1-8B,magnitude_50,19,0.5015546679496765
Llama-3.1-8B,magnitude_50,20,0.5015689317996685
Llama-3.1-8B,magnitude_50,21,0.5015649382884686
Llama-3.1-8B,magnitude_50,22,0.5015873863146856
Llama-3.1-8B,magnitude_50,23,0.5016063818564782
Llama-3.1-8B,magnitude_50,24,0.5016216910802401
Llama-3.1-8B,magnitude_50,25,0.5016130896715018
Llama-3.1-8B,magnitude_50,26,0.5016188621520996
Llama-3.1-8B,magnitude_50,27,0.5016079728419964
Llama-3.1-8B,magnitude_50,28,0.501613818682157
Llama-3.1-8B,magnitude_50,29,0.5015904903411865
Llama-3.1-8B,magnitude_50,30,0.5015673133043143
Llama-3.1-8B,magnitude_50,31,0.5015366260822003
Llama-3.1-8B,wanda_50,0,0.5003231488741361
Llama-3.1-8B,wanda_50,1,0.500348320374122
Llama-3.1-8B,wanda_50,2,0.5003476326282208
Llama-3.1-8B,wanda_50,3,0.5003479948410621
Llama-3.1-8B,wanda_50,4,0.5003412365913391
Llama-3.1-8B,wanda_50,5,0.5003301272025475
Llama-3.1-8B,wanda_50,6,0.5003444048074576
Llama-3.1-8B,wanda_50,7,0.5003580909508926
