Model,Configuration,Layer,Sparsity
Llama-3.1-8B,wanda_50,8,0.5003560139582708
Llama-3.1-8B,wanda_50,9,0.5003619606678302
Llama-3.1-8B,wanda_50,10,0.5003633774243869
Llama-3.1-8B,wanda_50,11,0.5003629693618188
Llama-3.1-8B,wanda_50,12,0.5003594205929682
Llama-3.1-8B,wanda_50,13,0.500354500917288
Llama-3.1-8B,wanda_50,14,0.5003482011648325
Llama-3.1-8B,wanda_50,15,0.5003427725571853
Llama-3.1-8B,wanda_50,16,0.5003418784875137
Llama-3.1-8B,wanda_50,17,0.5003384947776794
Llama-3.1-8B,wanda_50,18,0.5003329011110159
Llama-3.1-8B,wanda_50,19,0.5003296457804166
Llama-3.1-8B,wanda_50,20,0.5003287975604718
Llama-3.1-8B,wanda_50,21,0.5003317181880658
Llama-3.1-8B,wanda_50,22,0.50032750918315
Llama-3.1-8B,wanda_50,23,0.5003233689528245
Llama-3.1-8B,wanda_50,24,0.5003279997752264
Llama-3.1-8B,wanda_50,25,0.5003403471066401
Llama-3.1-8B,wanda_50,26,0.500345739034506
Llama-3.1-8B,wanda_50,27,0.5003468210880573
Llama-3.1-8B,wanda_50,28,0.5003443222779494
Llama-3.1-8B,wanda_50,29,0.5003561606773963
Llama-3.1-8B,wanda_50,30,0.5003419197522677
Llama-3.1-8B,wanda_50,31,0.5003536481123704
Llama-3.1-8B,magnitude_70,0,0.701293028317965
Llama-3.1-8B,magnitude_70,1,0.7013674011597266
Llama-3.1-8B,magnitude_70,2,0.701369372697977
Llama-3.1-8B,magnitude_70,3,0.7013869698231037
Llama-3.1-8B,magnitude_70,4,0.7014241493665255
Llama-3.1-8B,magnitude_70,5,0.7014329204192529
Llama-3.1-8B,magnitude_70,6,0.7014358914815463
Llama-3.1-8B,magnitude_70,7,0.7014223383023188
Llama-3.1-8B,magnitude_70,8,0.7014211278695327
Llama-3.1-8B,magnitude_70,9,0.701411614051232
Llama-3.1-8B,magnitude_70,10,0.7013982901206384
Llama-3.1-8B,magnitude_70,11,0.7013922058618985
Llama-3.1-8B,magnitude_70,12,0.7013865296657269
Llama-3.1-8B,magnitude_70,13,0.7013781712605403
Llama-3.1-8B,magnitude_70,14,0.7013793450135452
Llama-3.1-8B,magnitude_70,15,0.7013832514102643
Llama-3.1-8B,magnitude_70,16,0.7014023615763738
Llama-3.1-8B,magnitude_70,17,0.7013958509151752
Llama-3.1-8B,magnitude_70,18,0.7014030263974116
Llama-3.1-8B,magnitude_70,19,0.7013927743985102
Llama-3.1-8B,magnitude_70,20,0.7013939664914057
Llama-3.1-8B,magnitude_70,21,0.7013797805859492
Llama-3.1-8B,magnitude_70,22,0.7013696936460642
Llama-3.1-8B,magnitude_70,23,0.7013574334291311
Llama-3.1-8B,magnitude_70,24,0.7013568969873282
Llama-3.1-8B,magnitude_70,25,0.7013353430307828
Llama-3.1-8B,magnitude_70,26,0.7013307672280532
Llama-3.1-8B,magnitude_70,27,0.7013263014646677
Llama-3.1-8B,magnitude_70,28,0.7013092499512893
Llama-3.1-8B,magnitude_70,29,0.701316067805657
Llama-3.1-8B,magnitude_70,30,0.701311354453747
Llama-3.1-8B,magnitude_70,31,0.7014806133050185
Llama-3.1-8B,wanda_70,0,0.7003285609758817
Llama-3.1-8B,wanda_70,1,0.7003051455204303
Llama-3.1-8B,wanda_70,2,0.7003313165444595
Llama-3.1-8B,wanda_70,3,0.7003236183753381
Llama-3.1-8B,wanda_70,4,0.7003268874608554
Llama-3.1-8B,wanda_70,5,0.7003116470116836
Llama-3.1-8B,wanda_70,6,0.7003117616360004
Llama-3.1-8B,wanda_70,7,0.7003106337327224
Llama-3.1-8B,wanda_70,8,0.7003114957075852
Llama-3.1-8B,wanda_70,9,0.7003075434611394
Llama-3.1-8B,wanda_70,10,0.7003046732682449
Llama-3.1-8B,wanda_70,11,0.7003017755655142
Llama-3.1-8B,wanda_70,12,0.7003028759589562
Llama-3.1-8B,wanda_70,13,0.7002939994518573
Llama-3.1-8B,wanda_70,14,0.7002912438832797
Llama-3.1-8B,wanda_70,15,0.7002942653802725
Llama-3.1-8B,wanda_70,16,0.700297658260052
Llama-3.1-8B,wanda_70,17,0.7002897675220783
Llama-3.1-8B,wanda_70,18,0.7002974656911997
Llama-3.1-8B,wanda_70,19,0.7002951411100534
Llama-3.1-8B,wanda_70,20,0.7002969750991235
Llama-3.1-8B,wanda_70,21,0.7002960856144245
Llama-3.1-8B,wanda_70,22,0.7002994601543133
Llama-3.1-8B,wanda_70,23,0.7003015050521264
Llama-3.1-8B,wanda_70,24,0.7003027842595027
Llama-3.1-8B,wanda_70,25,0.7003049896313593
Llama-3.1-8B,wanda_70,26,0.7003040038622342
Llama-3.1-8B,wanda_70,27,0.7002928532086886
Llama-3.1-8B,wanda_70,28,0.7003260759206918
Llama-3.1-8B,wanda_70,29,0.7003092169761658
Llama-3.1-8B,wanda_70,30,0.7002803454032311
Llama-3.1-8B,wanda_70,31,0.7002842105351962
